Customer ID,Phone Service,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Offer,Tenure in Months
3946-MHCZW,Yes,No,Yes,DSL,11,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Offer E,1
6651-AZVTJ,Yes,Yes,Yes,Fiber Optic,73,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,None,49
4566-GOLUK,Yes,Yes,Yes,Fiber Optic,7,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,None,47
2484-DGXPZ,Yes,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,None,31
4587-NUKOX,Yes,No,Yes,Fiber Optic,2,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer E,3
0420-BWTPW,No,No,Yes,DSL,16,No,No,No,No,No,No,No,Yes,Month-to-Month,None,8
8183-ONMXC,Yes,No,Yes,Fiber Optic,6,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,None,2
9614-RMGHA,Yes,Yes,Yes,Fiber Optic,73,No,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,None,65
5054-IEXZT,Yes,No,Yes,Fiber Optic,21,No,Yes,No,No,No,No,No,No,Month-to-Month,None,1
5834-ASPWA,Yes,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,None,1
3948-XHGNA,Yes,No,Yes,DSL,28,Yes,No,No,No,No,No,No,Yes,Month-to-Month,None,24
0565-IYCGT,Yes,Yes,Yes,DSL,9,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,Offer A,69
5445-UTODQ,Yes,No,Yes,Fiber Optic,27,No,No,No,No,Yes,No,No,Yes,Month-to-Month,None,7
1024-VRZHF,Yes,Yes,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer D,11
0348-SDKOL,Yes,Yes,Yes,Fiber Optic,28,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,None,58
4373-MAVJG,Yes,Yes,Yes,Fiber Optic,9,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Offer D,14
8901-HJXTF,No,No,Yes,DSL,27,No,Yes,No,No,No,No,No,Yes,Month-to-Month,None,12
5419-KLXBN,Yes,No,Yes,Fiber Optic,5,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,None,25
9828-AOQLM,Yes,No,Yes,DSL,5,No,No,No,No,No,No,No,Yes,Month-to-Month,None,1
7615-ESMYF,No,No,Yes,Cable,51,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,2
3858-VOBET,Yes,Yes,Yes,Cable,13,No,No,No,No,No,No,No,Yes,Month-to-Month,None,23
1447-PJGGA,Yes,No,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,None,57
8565-CLBZW,Yes,Yes,Yes,Fiber Optic,58,No,No,Yes,No,Yes,No,Yes,Yes,Month-to-Month,None,24
9139-WQQDY,Yes,Yes,Yes,Fiber Optic,19,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,None,49
0224-HJAPT,Yes,Yes,Yes,Cable,85,No,No,No,No,No,No,Yes,Yes,Month-to-Month,None,5
8086-OVPWV,Yes,No,Yes,Fiber Optic,10,No,No,No,No,No,Yes,Yes,No,Month-to-Month,None,2
9430-FRQOC,Yes,Yes,Yes,Fiber Optic,3,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,None,4
3074-GQWYX,Yes,Yes,Yes,Fiber Optic,59,No,No,No,No,No,No,No,Yes,Month-to-Month,None,5
6845-RGTYS,Yes,Yes,Yes,Fiber Optic,51,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Month-to-Month,None,47
8861-HGGKB,Yes,Yes,Yes,Fiber Optic,20,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,None,10
7065-YUNRY,Yes,No,Yes,Cable,59,No,No,No,No,No,No,Yes,Yes,Month-to-Month,None,1
7694-VLBWQ,Yes,Yes,Yes,Fiber Optic,3,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Offer A,67
6481-OGDOO,Yes,No,Yes,Fiber Optic,5,Yes,Yes,No,No,No,Yes,Yes,Yes,One Year,Offer A,67
3753-TSEMP,Yes,No,Yes,Fiber Optic,76,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,15
8305-VHZBZ,Yes,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,None,1
9172-JITSM,Yes,No,Yes,Fiber Optic,11,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,26
6298-QDFNH,Yes,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,None,22
6173-ITPWD,Yes,Yes,Yes,Fiber Optic,59,No,Yes,Yes,No,No,No,Yes,No,Month-to-Month,Offer B,47
9734-UYXQI,Yes,Yes,Yes,Cable,52,No,No,No,No,No,No,Yes,Yes,Month-to-Month,None,2
2189-UXTKY,Yes,Yes,Yes,DSL,51,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,None,22
4958-GZWIY,Yes,No,Yes,DSL,4,No,No,Yes,No,No,No,No,Yes,Month-to-Month,None,7
6356-ELRKD,Yes,No,Yes,Fiber Optic,27,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,1
8624-GIOUT,Yes,Yes,Yes,DSL,30,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer B,49
3177-LASXD,Yes,No,Yes,Cable,13,No,No,No,No,No,No,No,No,Month-to-Month,None,1
4897-QSUYC,Yes,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Offer E,1
1084-UQCHV,Yes,No,Yes,Fiber Optic,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,1
2955-BJZHG,Yes,No,Yes,Fiber Optic,3,No,No,No,No,Yes,No,No,Yes,Month-to-Month,None,17
3806-DXQOM,No,No,Yes,DSL,4,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer E,4
9300-RENDD,Yes,No,Yes,Fiber Optic,5,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Offer E,1
0761-AETCS,Yes,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Offer E,1
2153-MREFK,Yes,Yes,Yes,Fiber Optic,4,Yes,No,Yes,Yes,No,Yes,Yes,Yes,One Year,None,37
3106-ULWFW,Yes,Yes,Yes,Fiber Optic,16,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Offer E,8
0925-VYDLG,Yes,Yes,Yes,Fiber Optic,25,No,No,No,No,No,No,No,Yes,Month-to-Month,None,3
4349-GFQHK,Yes,Yes,Yes,DSL,52,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Offer E,1
7802-EFKNY,No,No,Yes,DSL,7,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,5
8035-BUYVG,No,No,Yes,DSL,21,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Offer B,40
9787-XVQIU,Yes,Yes,Yes,Fiber Optic,18,No,No,No,No,No,No,No,No,Month-to-Month,Offer E,1
8945-MUQUF,Yes,Yes,Yes,Fiber Optic,58,Yes,Yes,No,No,Yes,No,Yes,Yes,One Year,Offer B,51
3023-GFLBR,Yes,Yes,Yes,Fiber Optic,28,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,None,33
0524-IAVZO,Yes,Yes,Yes,Fiber Optic,41,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Offer C,30
2737-YNGYW,Yes,No,Yes,Fiber Optic,41,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Offer E,2
5159-YFPKQ,Yes,No,Yes,Fiber Optic,16,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Offer E,2
7927-AUXBZ,Yes,No,Yes,Fiber Optic,8,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Offer C,30
7619-ODSGN,Yes,Yes,Yes,DSL,18,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Offer C,24
2514-GINMM,Yes,No,Yes,Fiber Optic,23,No,No,No,No,Yes,No,No,No,Month-to-Month,Offer E,1
2659-VXMWZ,Yes,Yes,Yes,Fiber Optic,21,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Offer A,67
4285-GYRQC,Yes,No,Yes,Fiber Optic,26,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Offer E,7
8337-MSSXB,Yes,No,Yes,Fiber Optic,26,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,None,14
8182-BJDSI,Yes,Yes,Yes,Fiber Optic,30,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Offer C,28
2482-CZGBB,Yes,No,Yes,Fiber Optic,27,No,No,No,No,No,No,No,Yes,Month-to-Month,None,10
0866-QLSIR,Yes,Yes,Yes,DSL,4,Yes,Yes,No,Yes,No,No,No,Yes,One Year,Offer C,34
7181-BQYBV,Yes,Yes,Yes,Fiber Optic,9,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,None,1
6204-IEUXJ,Yes,No,Yes,Fiber Optic,58,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Offer E,3
4529-CKBCL,Yes,No,Yes,Fiber Optic,22,No,No,No,No,Yes,No,No,No,Month-to-Month,Offer E,2
2506-CLAKW,Yes,No,Yes,Fiber Optic,26,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Offer E,6
1583-IHQZE,Yes,Yes,Yes,Cable,23,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,None,12
0151-ONTOV,Yes,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,1
0320-JDNQG,Yes,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,None,23
7180-PISOG,Yes,Yes,Yes,Fiber Optic,16,No,No,No,No,No,No,No,Yes,Month-to-Month,None,1
3571-RFHAR,Yes,Yes,Yes,Fiber Optic,4,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Offer B,65
9578-VRMNM,Yes,Yes,Yes,DSL,30,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,None,16
6140-QNRQQ,Yes,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,1
4307-KTUMW,Yes,Yes,Yes,Fiber Optic,73,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Offer B,53
7470-MCQTK,No,No,Yes,DSL,8,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,None,13
7488-MXJIV,Yes,Yes,Yes,Fiber Optic,20,No,No,No,No,Yes,No,No,No,Month-to-Month,Offer E,4
2027-FECZV,Yes,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,None,12
2672-DZUOY,No,No,Yes,DSL,5,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,1
3870-MQAMG,Yes,Yes,Yes,Fiber Optic,71,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Offer B,54
4800-CZMPC,Yes,Yes,Yes,Fiber Optic,47,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Offer B,48
7377-DMMRI,Yes,No,Yes,DSL,11,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,2
8949-JTMAY,Yes,Yes,Yes,Fiber Optic,2,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer C,29
3211-ILJTT,Yes,No,Yes,Fiber Optic,11,No,No,No,No,No,No,No,Yes,Month-to-Month,None,17
5103-MHMHY,Yes,No,Yes,Cable,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,1
0235-KGSLC,Yes,No,Yes,Fiber Optic,4,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Offer E,1
2884-GBPFB,Yes,No,Yes,Fiber Optic,4,No,No,No,No,No,No,No,No,Month-to-Month,Offer C,35
5136-KCKGI,Yes,Yes,Yes,Fiber Optic,73,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Offer C,33
3722-WPXTK,Yes,No,Yes,Fiber Optic,46,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,1
2929-ERCFZ,Yes,No,Yes,Fiber Optic,76,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer E,8
7548-SEPYI,Yes,No,Yes,Fiber Optic,10,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer E,5
8835-VSDSE,Yes,No,Yes,Cable,27,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,2
1623-NLDOT,No,No,Yes,Cable,5,No,Yes,No,Yes,No,No,No,No,One Year,Offer B,42
5236-PERKL,Yes,Yes,Yes,Fiber Optic,6,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,None,57
7854-FOKSF,No,No,Yes,Cable,29,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Offer E,1
2519-FAKOD,Yes,Yes,Yes,Fiber Optic,85,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer C,38
7089-IVVAZ,Yes,Yes,Yes,Fiber Optic,41,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Offer E,8
9492-TOKRI,Yes,Yes,Yes,Fiber Optic,5,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,None,18
3325-FUYCG,Yes,Yes,Yes,Fiber Optic,24,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Offer C,28
8481-YYXWG,Yes,No,Yes,Fiber Optic,69,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Offer E,5
2609-IAICY,Yes,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,No,Month-to-Month,None,1
1740-CSDJP,No,No,Yes,DSL,9,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,None,1
2636-OHFMN,No,No,Yes,DSL,76,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,4
1323-OOEPC,Yes,Yes,Yes,Fiber Optic,24,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,53
9921-ZVRHG,Yes,Yes,Yes,Fiber Optic,23,No,No,Yes,No,No,No,No,Yes,Month-to-Month,None,14
4701-MLJPN,Yes,No,Yes,DSL,6,No,No,Yes,Yes,No,No,No,No,Month-to-Month,Offer C,31
9206-GVPEQ,No,No,Yes,Cable,71,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,None,13
1596-BBVTG,Yes,Yes,Yes,Fiber Optic,21,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer C,35
8433-WXGNA,Yes,No,Yes,Cable,2,Yes,No,No,No,No,No,No,Yes,Month-to-Month,None,2
3707-GNWHM,Yes,Yes,Yes,Fiber Optic,42,No,No,No,No,No,No,No,Yes,Month-to-Month,None,1
5766-ZJYBB,Yes,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,None,1
8931-GJJIQ,Yes,Yes,Yes,Fiber Optic,17,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,None,9
4277-PVRAN,Yes,No,Yes,Fiber Optic,7,No,No,No,No,Yes,No,No,Yes,Month-to-Month,None,8
0203-HHYIJ,Yes,Yes,No,None,0,No,No,No,No,No,No,No,No,One Year,Offer C,25
0952-KMEEH,Yes,Yes,Yes,Fiber Optic,15,Yes,No,No,No,Yes,Yes,Yes,No,Month-to-Month,None,13
8178-EYZUO,Yes,Yes,Yes,Fiber Optic,3,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,None,46
3230-WYKIR,Yes,Yes,Yes,DSL,5,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,None,18
0407-BDJKB,Yes,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,None,60
9600-UDOPK,Yes,Yes,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer C,30
4074-SJFFA,Yes,No,Yes,DSL,12,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,None,1
4910-GMJOT,Yes,Yes,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,1
4323-SADQS,No,No,Yes,Cable,30,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,None,7
4446-BZKHU,Yes,Yes,Yes,Fiber Optic,24,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,None,61
5202-IVJNU,No,No,Yes,DSL,24,No,No,Yes,No,No,No,No,No,Month-to-Month,None,39
5976-JCJRH,Yes,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer D,10
0137-OCGAB,Yes,Yes,Yes,Fiber Optic,69,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer E,1
3351-NQLDI,Yes,Yes,Yes,Fiber Optic,11,Yes,No,No,Yes,No,Yes,Yes,Yes,One Year,Offer A,67
7593-JNWRU,Yes,No,Yes,DSL,21,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,6
4588-YBNIB,Yes,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Offer E,1
5028-GZLDO,Yes,No,Yes,Fiber Optic,85,No,No,No,No,No,No,No,Yes,Month-to-Month,None,2
6877-TJMBR,Yes,No,Yes,Fiber Optic,51,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Offer E,1
6769-DCQLI,Yes,No,Yes,Fiber Optic,51,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,None,52
2433-KMEAS,Yes,Yes,Yes,DSL,7,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Offer D,22
2195-ZRVAX,Yes,No,Yes,Cable,23,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,None,47
3550-SAHFP,Yes,Yes,Yes,Fiber Optic,30,No,No,No,No,No,Yes,Yes,No,Month-to-Month,None,33
2011-TRQYE,No,No,Yes,DSL,26,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Offer D,18
4873-ILOLJ,Yes,No,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,24
2725-KXXWT,Yes,No,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer E,1
9565-DJPIB,Yes,Yes,Yes,Fiber Optic,20,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Offer E,4
8348-HFYIV,No,No,Yes,DSL,51,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer E,2
6849-WLEYG,Yes,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,None,1
4659-NZRUF,Yes,Yes,Yes,Fiber Optic,17,Yes,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Offer D,19
8429-XIBUM,Yes,Yes,Yes,Fiber Optic,19,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer D,22
2608-BHKFN,Yes,No,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,None,4
7341-LXCAF,Yes,Yes,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,None,4
9462-MJUAW,Yes,Yes,Yes,Cable,10,No,No,No,No,No,No,No,Yes,Month-to-Month,None,4
8128-YVJRG,Yes,Yes,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,Yes,Month-to-Month,None,7
1569-TTNYJ,Yes,Yes,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,No,Month-to-Month,None,5
4749-VFKVB,Yes,Yes,Yes,DSL,14,No,No,No,No,No,No,No,Yes,Month-to-Month,None,1
7598-UAASY,Yes,No,Yes,Fiber Optic,51,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Offer E,2
7938-OUHIO,Yes,No,Yes,Fiber Optic,73,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Offer E,3
0431-APWVY,Yes,No,Yes,Fiber Optic,13,No,No,No,No,Yes,Yes,Yes,Yes,One Year,None,28
3426-NIYYL,Yes,Yes,Yes,DSL,26,No,No,No,No,No,No,No,No,Month-to-Month,Offer D,15
3387-VATUS,Yes,Yes,Yes,Fiber Optic,19,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer E,5
1143-NMNQJ,Yes,Yes,Yes,Fiber Optic,6,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,None,2
0415-MOSGF,Yes,No,Yes,DSL,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,1
2495-INZWQ,No,No,Yes,Cable,20,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Offer E,4
4139-SUGLD,No,No,Yes,DSL,23,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,None,31
6857-VWJDT,Yes,Yes,Yes,Fiber Optic,9,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer E,1
5624-BQSSA,Yes,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,None,1
5577-OTWWW,Yes,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Offer D,15
6100-QQHEB,Yes,Yes,Yes,Fiber Optic,13,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer D,17
2691-NZETQ,Yes,Yes,Yes,Fiber Optic,58,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Offer E,9
4404-HIBDJ,Yes,No,Yes,DSL,21,Yes,Yes,Yes,Yes,Yes,No,No,Yes,One Year,None,25
7295-JOMMD,Yes,No,Yes,Fiber Optic,18,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Offer E,4
5013-SBUIH,Yes,Yes,Yes,Fiber Optic,28,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,None,50
6023-YEBUP,Yes,Yes,Yes,Cable,30,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Offer E,3
7209-JCUDS,Yes,No,Yes,Fiber Optic,41,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer D,10
6158-DWPZT,No,No,Yes,DSL,15,No,No,No,No,No,No,No,Yes,One Year,Offer E,9
3763-GCZHZ,Yes,Yes,Yes,Fiber Optic,85,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Offer A,66
0772-GYEQQ,Yes,No,Yes,Fiber Optic,10,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Offer E,3
4831-EOBFE,Yes,No,Yes,Fiber Optic,15,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,29
9170-GYZJC,Yes,Yes,Yes,Cable,56,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,None,41
2002-MZHWP,Yes,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Offer E,1
2004-OCQXK,Yes,No,Yes,Fiber Optic,16,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Offer E,1
5027-QPKTE,Yes,No,Yes,Fiber Optic,28,No,No,No,No,No,No,No,No,Month-to-Month,Offer E,7
2672-HUYVI,Yes,No,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,6
7508-MYBOG,Yes,Yes,Yes,Fiber Optic,42,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Offer D,14
0148-DCDOS,Yes,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,25
9992-RRAMN,Yes,Yes,Yes,Fiber Optic,17,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Offer D,22
0310-MVLET,Yes,Yes,Yes,Fiber Optic,7,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,61
5696-QURRL,Yes,No,Yes,DSL,26,No,No,No,No,No,No,No,No,Month-to-Month,None,1
0495-RVCBF,Yes,No,Yes,Fiber Optic,26,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,None,1
7854-EDSSA,Yes,Yes,Yes,Cable,17,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer D,22
8869-TORSS,Yes,No,Yes,DSL,13,Yes,No,Yes,Yes,No,No,No,Yes,One Year,None,48
2115-BFTIW,Yes,No,Yes,Fiber Optic,18,No,No,No,No,No,No,No,No,Month-to-Month,None,25
0611-DFXKO,Yes,No,Yes,Fiber Optic,5,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer D,20
7780-OTDSO,Yes,Yes,Yes,Fiber Optic,16,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,18
9747-DDZOS,Yes,No,Yes,Fiber Optic,2,No,No,Yes,No,No,No,No,Yes,Month-to-Month,None,1
0564-JJHGS,Yes,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,9
3348-CFRNX,Yes,No,Yes,Fiber Optic,20,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,28
1428-GTBJJ,Yes,No,Yes,Fiber Optic,41,No,Yes,No,No,No,No,No,Yes,Month-to-Month,None,11
2249-YPRNG,Yes,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,None,20
7410-YTJIK,Yes,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,None,7
4626-GYCZP,Yes,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,7
5590-BYNII,Yes,Yes,Yes,Fiber Optic,17,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,22
3237-AJGEH,No,No,Yes,DSL,19,No,No,No,Yes,No,No,No,No,Month-to-Month,None,3
1591-NFNLQ,Yes,Yes,Yes,Fiber Optic,16,No,No,Yes,No,No,No,No,Yes,Month-to-Month,None,51
0596-BQCEQ,Yes,No,Yes,Fiber Optic,13,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,None,62
1481-ZUWZA,Yes,Yes,Yes,Fiber Optic,26,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,None,28
2309-OSFEU,No,No,Yes,DSL,30,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,None,10
7613-LLQFO,Yes,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,No,No,Yes,Month-to-Month,None,12
2640-PMGFL,Yes,Yes,Yes,Fiber Optic,29,No,No,No,Yes,No,No,No,Yes,Month-to-Month,None,27
3801-HMYNL,Yes,No,Yes,Fiber Optic,18,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,1
4484-CGXFK,Yes,No,Yes,DSL,7,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,None,3
6214-EDAKZ,Yes,No,Yes,DSL,19,No,Yes,No,Yes,No,No,No,No,Month-to-Month,None,22
6127-ISGTU,Yes,Yes,Yes,Fiber Optic,7,No,No,No,No,Yes,No,No,Yes,Month-to-Month,None,16
8740-XLHDR,No,No,Yes,Cable,59,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,None,5
1208-DNHLN,Yes,Yes,Yes,DSL,12,No,No,No,No,No,No,No,Yes,One Year,None,23
1761-AEZZR,Yes,No,Yes,Fiber Optic,6,No,No,No,No,Yes,No,No,Yes,Month-to-Month,None,1
7120-RFMVS,Yes,Yes,Yes,Fiber Optic,12,No,No,No,No,Yes,No,No,Yes,Month-to-Month,None,1
